24,19,1432,856,117,362,0.5179,-1,-1,-1
24,21,1432,856,117,325,0.4016,-1,-1,-1
25,1,896,1059,153,305,0.9004,-1,-1,-1
25,2,548,1085,145,361,0.8985,-1,-1,-1
25,3,1507,859,141,283,0.8722,-1,-1,-1
25,4,2037,1001,160,356,0.8571,-1,-1,-1
25,5,1682,872,187,269,0.8344,-1,-1,-1
25,6,1456,992,168,265,0.8146,-1,-1,-1
25,7,2599,972,136,131,0.7764,-1,-1,-1
25,8,1424,856,123,347,0.6962,-1,-1,-1
25,9,1855,784,110,311,0.6933,-1,-1,-1
25,12,1359,939,140,271,0.6909,-1,-1,-1
25,11,2100,999,113,320,0.6116,-1,-1,-1
25,13,1404,855,146,350,0.5887,-1,-1,-1
25,10,2097,997,131,329,0.5557,-1,-1,-1
25,19,1432,856,117,362,0.5117,-1,-1,-1
25,14,1441,856,110,342,0.4999,-1,-1,-1
25,21,1431,856,118,325,0.4075,-1,-1,-1
26,1,896,1059,153,305,0.9005,-1,-1,-1
26,2,548,1085,145,361,0.8958,-1,-1,-1
26,3,1507,859,141,283,0.8719,-1,-1,-1
26,4,2037,1001,160,356,0.8569,-1,-1,-1
26,5,1683,872,186,268,0.8332,-1,-1,-1
26,6,1456,992,168,265,0.8191,-1,-1,-1
26,7,2599,972,136,131,0.7822,-1,-1,-1
26,8,1424,856,124,347,0.6992,-1,-1,-1
26,9,1855,784,110,313,0.6943,-1,-1,-1
26,12,1359,939,141,271,0.6939,-1,-1,-1
26,11,2100,999,113,321,0.6176,-1,-1,-1
26,13,1404,855,146,350,0.5907,-1,-1,-1
26,10,2097,997,131,329,0.5524,-1,-1,-1
26,14,1441,856,110,343,0.5268,-1,-1,-1
26,19,1432,856,117,362,0.5182,-1,-1,-1
26,21,1432,856,117,325,0.4024,-1,-1,-1
27,1,896,1059,153,305,0.9003,-1,-1,-1
27,2,548,1085,145,361,0.8974,-1,-1,-1
27,3,1507,859,141,283,0.8718,-1,-1,-1
27,4,2037,1001,160,356,0.8571,-1,-1,-1
27,5,1682,872,187,268,0.8346,-1,-1,-1
27,6,1456,992,168,266,0.8140,-1,-1,-1
27,7,2599,972,136,131,0.7788,-1,-1,-1
27,8,1423,856,124,346,0.6964,-1,-1,-1
27,9,1855,784,110,311,0.6913,-1,-1,-1
27,12,1359,939,141,270,0.6898,-1,-1,-1
27,11,2100,999,113,320,0.6107,-1,-1,-1
27,13,1404,855,146,350,0.5879,-1,-1,-1
27,10,2097,997,131,329,0.5481,-1,-1,-1
27,19,1432,856,117,361,0.5100,-1,-1,-1
27,14,1441,856,110,342,0.5003,-1,-1,-1
27,21,1431,856,118,325,0.4030,-1,-1,-1
28,1,896,1059,153,305,0.9005,-1,-1,-1
28,2,548,1085,145,361,0.8958,-1,-1,-1
28,3,1507,859,141,283,0.8719,-1,-1,-1
28,4,2037,1001,160,356,0.8569,-1,-1,-1
28,5,1683,872,186,268,0.8332,-1,-1,-1
28,6,1456,992,168,265,0.8191,-1,-1,-1
28,7,2599,972,136,131,0.7822,-1,-1,-1
28,8,1424,856,124,347,0.6992,-1,-1,-1
28,9,1855,784,110,313,0.6942,-1,-1,-1
28,12,1359,939,141,271,0.6939,-1,-1,-1
28,11,2100,999,113,321,0.6176,-1,-1,-1
28,13,1404,855,146,350,0.5907,-1,-1,-1
28,10,2097,997,131,329,0.5524,-1,-1,-1
28,14,1441,856,110,343,0.5267,-1,-1,-1
28,19,1432,856,117,362,0.5181,-1,-1,-1
28,21,1432,856,117,325,0.4024,-1,-1,-1
29,1,896,1059,153,305,0.9004,-1,-1,-1
29,2,548,1085,145,361,0.8985,-1,-1,-1
29,3,1507,859,141,283,0.8722,-1,-1,-1
29,4,2037,1001,160,356,0.8571,-1,-1,-1
29,5,1682,872,187,269,0.8344,-1,-1,-1
29,6,1456,992,168,265,0.8145,-1,-1,-1
29,7,2599,972,136,131,0.7764,-1,-1,-1
29,8,1424,856,123,347,0.6962,-1,-1,-1
29,9,1855,784,110,311,0.6933,-1,-1,-1
29,12,1359,939,140,271,0.6909,-1,-1,-1
29,11,2100,999,113,320,0.6116,-1,-1,-1
29,13,1404,855,146,350,0.5886,-1,-1,-1
29,10,2097,997,131,329,0.5557,-1,-1,-1
29,19,1432,856,117,362,0.5116,-1,-1,-1
29,14,1441,856,110,342,0.4998,-1,-1,-1
29,21,1431,856,118,325,0.4075,-1,-1,-1
30,1,896,1059,153,305,0.9007,-1,-1,-1
